Date,Close/Last,Volume,Open,High,Low
9/7/22,1727.8,169690,1712.9,1731.2,1701.7
9/8/22,1720.2,182302,1729.5,1739.4,1713.7
9/9/22,1728.6,151576,1719.6,1740.5,1719.4
9/12/22,1740.6,152588,1728.4,1746.4,1722.3
9/13/22,1717.4,228966,1736,1742.9,1706.7
9/14/22,1709.1,159797,1711.6,1717.3,1703.3
9/15/22,1677.3,257001,1707.2,1707.8,1668.9
9/16/22,1683.5,209506,1673.7,1689.9,1661.9
9/19/22,1678.2,138336,1685.4,1688.8,1667.6
9/20/22,1671.1,140765,1684.9,1688.8,1668.1
9/21/22,1675.7,221902,1673.2,1696.9,1661.3
9/22/22,1681.1,232407,1682.8,1693.5,1663.3
9/23/22,1655.6,236570,1680.1,1685,1646.6
9/26/22,1633.4,213873,1651,1657.2,1627.7
9/27/22,1636.2,192565,1629.2,1650.1,1628.7
9/28/22,1670,270952,1636.5,1671.6,1622.2
9/29/22,1668.6,196633,1669,1673.1,1649.3
9/30/22,1672,173144,1669.5,1684.4,1667.5
10/3/22,1702,207858,1670.5,1710.4,1666.5
10/4/22,1730.5,199426,1708.4,1738.7,1704
10/5/22,1720.8,168000,1734.4,1736.6,1708.8
10/6/22,1720.9,134333,1725.5,1734.2,1714.8
10/7/22,1709.3,153813,1721,1722.8,1698.4
10/10/22,1675.2,152626,1703.4,1707.4,1672.5
10/11/22,1686,166065,1675.6,1691.3,1667.5
10/12/22,1677.5,127689,1673.4,1685.1,1668
10/13/22,1672.9,N/A,1672.9,1672.9,1672.9
10/14/22,1672.9,N/A,1672.9,1672.9,1672.9
10/17/22,1664,144374,1649.9,1674.3,1649.1
10/18/22,1655.5,N/A,1655.5,1655.5,1655.5
10/19/22,1634.2,172551,1657.2,1659.8,1632.2
10/20/22,1636.8,159797,1634.6,1650.3,1626.3
10/21/22,1656.3,265985,1632.4,1663.1,1621.1
10/24/22,1654.1,167448,1662.9,1675.5,1648
10/25/22,1658,178706,1654.5,1666.8,1641.2
10/26/22,1669.2,183453,1657.7,1679.4,1653.8
10/27/22,1668.8,180599,1668.8,1674.8,1658.5
10/28/22,1648.3,186519,1667.2,1670.9,1640.7
10/31/22,1648.3,124445,1647.2,1648.5,1634.5
11/1/22,1636.4,193178,1636.1,1660.3,1633.6
11/2/22,1651,215445,1651.4,1673.1,1637.4
11/3/22,1637.7,241648,1639.1,1643.2,1618.3
11/4/22,1685.7,279525,1631.7,1686.4,1631.1
11/7/22,1680.5,170491,1678.6,1685.6,1670
11/8/22,1716,276996,1678,1720.4,1667.1
11/9/22,1715.8,221627,1715.2,1725.8,1705.1
11/10/22,1753.7,284865,1709.7,1760.6,1705.5
11/11/22,1774.2,182646,1758.3,1775.6,1750.3
11/14/22,1774.2,184022,1769.4,1778.4,1755.8
11/15/22,1774.7,276828,1774,1791.8,1770.2
11/16/22,1775.8,191870,1782,1788.2,1773.4
11/17/22,1763,164553,1777,1777.6,1756.6
11/18/22,1769,29695,1777.6,1784.5,1764
11/21/22,1754.6,64912,1766.6,1769.7,1748.8
11/22/22,1754.8,57764,1755.4,1765.8,1752.4
11/23/22,1760.4,72154,1755.6,1769.7,1733.5
11/25/22,1768.8,62238,1765.2,1776,1760.6
11/28/22,1755.3,126938,1771.1,1778.5,1753.3
11/29/22,1763.7,125501,1754.6,1773.4,1752.9
11/30/22,1759.9,183177,1763.4,1784.2,1758.2
12/1/22,1815.2,219246,1783.1,1818.4,1782.9
12/2/22,1809.6,177152,1817,1818.7,1791.8
12/5/22,1781.3,175905,1810.5,1822.9,1778.1
12/6/22,1782.4,123344,1780.8,1793.2,1779.1
12/7/22,1798,149600,1783.3,1803.2,1780.5
12/8/22,1801.5,111761,1799.5,1806.9,1793.2
12/9/22,1810.7,145372,1801.9,1819,1800.1
12/12/22,1792.3,105314,1808,1809.3,1789
12/13/22,1825.5,222725,1792.3,1836.9,1791.8
12/14/22,1818.7,140490,1822.6,1825.4,1806.2
12/15/22,1787.8,179653,1818.7,1819.7,1782
12/16/22,1800.2,126360,1786.9,1804.2,1783.9
12/19/22,1797.7,84087,1801.6,1808.6,1793.2
12/20/22,1825.4,191823,1796.8,1832.4,1793.7
12/21/22,1823.9,103269,1827.9,1833.8,1821.3
12/22/22,1795.3,168989,1823.8,1829.3,1792.7
12/23/22,1804.2,100413,1801,1812.2,1798.9
12/27/22,1823.1,156189,1808.2,1841.9,1808
12/28/22,1815.8,110705,1822.4,1822.8,1804.2
12/29/22,1826,103283,1812.3,1827.3,1811.2
12/30/22,1826.2,103926,1821.8,1832.4,1819.8
1/3/23,1846.1,206818,1831.8,1856.6,1831.3
1/4/23,1859,193760,1845.2,1871.3,1842
1/5/23,1840.6,177851,1861.2,1864.3,1829.9
1/6/23,1869.7,208187,1835.9,1875.2,1835.2
1/9/23,1877.8,183869,1872.8,1886.4,1869.3
1/10/23,1876.5,150115,1875.7,1885.2,1872
1/11/23,1878.9,201761,1881.3,1890.9,1870.9
1/12/23,1898.8,243497,1879.7,1906.5,1872.4
1/13/23,1921.7,226750,1898.8,1925.3,1895.1
1/17/23,1909.9,253693,1923.8,1931.8,1906.2
1/18/23,1907,209782,1911.1,1929.8,1898.6
1/19/23,1923.9,204470,1907,1936.9,1902
1/20/23,1928.2,161073,1933.7,1939,1922
1/23/23,1945.4,55696,1948,1953.3,1929.2
1/24/23,1952.2,82356,1948.9,1960.5,1935
1/25/23,1959.4,81544,1955.2,1966.3,1937.5
1/26/23,1946.7,127736,1965,1966.5,1935.1
1/27/23,1945.6,142448,1945.8,1952.1,1933
1/30/23,1939.2,134362,1944,1950.1,1936.2
1/31/23,1945.3,189046,1938.6,1946.9,1915.5
2/1/23,1942.8,205037,1944,1970.8,1936.1
2/2/23,1930.8,242931,1967.1,1975.2,1925.6
2/3/23,1876.6,296669,1926.3,1932.4,1874.5
2/6/23,1879.5,158761,1878,1894,1873.2
2/7/23,1884.8,172946,1880.3,1897.2,1877.5
2/8/23,1890.7,126260,1885.1,1898.9,1881.4
2/9/23,1878.5,177874,1888.3,1902.3,1870.2
2/10/23,1874.5,150144,1873.5,1883.5,1863.5
2/13/23,1863.5,127343,1876.7,1877.2,1860.8
2/14/23,1865.4,209831,1864.1,1881.6,1852.5
2/15/23,1845.3,165570,1865.1,1870.9,1839.3
2/16/23,1851.8,163521,1846.5,1854.9,1836.6
2/17/23,1850.2,161154,1845.7,1853.1,1827.7
2/21/23,1842.5,205256,1850.5,1856.4,1839
2/22/23,1841.5,137955,1843.7,1855,1831.9
2/23/23,1826.8,174152,1834.7,1841.2,1824.8
2/24/23,1817.1,162961,1829.7,1835.1,1815.5
2/27/23,1824.9,127138,1818,1827.3,1812
2/28/23,1836.7,175222,1823.9,1838.6,1810.8
3/1/23,1845.4,179501,1834,1852.5,1829.6
3/2/23,1840.5,135493,1843.8,1845.3,1835.9
3/3/23,1854.6,152535,1842.1,1864.4,1842
3/6/23,1852.4,130994,1861,1864.3,1850.6
3/7/23,1820,225479,1852.6,1856.9,1817.1
3/8/23,1818.6,186948,1818,1828.7,1813.4
3/9/23,1834.6,207702,1818,1839.4,1815.4
3/10/23,1867.2,319696,1835.1,1874.3,1830
3/13/23,1916.5,426262,1877.1,1919.5,1875.7
3/14/23,1910.9,254442,1919.4,1919.4,1899.8
3/15/23,1931.3,376775,1908.2,1942.5,1889.5
3/16/23,1923,242983,1922.8,1938,1911.5
3/17/23,1990.2,63433,1942.7,2010.4,1939.1
3/20/23,1999.7,66038,2008.6,2031.7,1987
3/21/23,1941.1,242914,1983.1,1988.7,1938.6
3/22/23,1949.6,240155,1943.5,1982.3,1936.5
3/23/23,1995.9,257040,1974,2006.1,1967.3
3/24/23,1983.8,276299,1996.1,2006.5,1977.7
3/27/23,1953.8,202321,1982.6,1984,1945
3/28/23,1973.5,181641,1957.8,1977.1,1949.9
3/29/23,1966.9,87911,1975.4,1976,1959.5
