Date,Future_Predicted
8/3/2023,2471.2592
8/4/2023,2469.00128
8/5/2023,2466.754656
8/6/2023,2464.519697
8/7/2023,2462.295543
8/8/2023,2460.082685
8/9/2023,2457.880878
8/10/2023,2455.690245
8/11/2023,2453.510417
8/12/2023,2451.341271
8/13/2023,2449.182562
8/14/2023,2447.03515
8/15/2023,2444.897315
8/16/2023,2442.770531
8/17/2023,2440.653938
8/18/2023,2438.547659
8/19/2023,2436.451571
8/20/2023,2434.365183
8/21/2023,2432.289355
8/22/2023,2430.223105
8/23/2023,2428.166432
8/24/2023,2426.11995
8/25/2023,2424.083045
8/26/2023,2422.055718
8/27/2023,2420.037845
8/28/2023,2418.029672
8/29/2023,2416.030463
8/30/2023,2414.040954
8/31/2023,2412.060409
9/1/2023,2410.089072
9/2/2023,2408.12719
9/3/2023,2406.173534
9/4/2023,2404.229334
9/5/2023,2402.293728
9/6/2023,2400.367454
9/7/2023,2398.449038
9/8/2023,2396.539954
9/9/2023,2394.639342
9/10/2023,2392.74708
9/11/2023,2390.863413
9/12/2023,2388.988464
9/13/2023,2387.12125
9/14/2023,2385.262631
9/15/2023,2383.412362
9/16/2023,2381.569829
9/17/2023,2379.735644
9/18/2023,2377.909687
9/19/2023,2376.091097
9/20/2023,2374.280733
9/21/2023,2372.478351
9/22/2023,2370.683704
9/23/2023,2368.896424
9/24/2023,2367.117125
9/25/2023,2365.345317
9/26/2023,2363.581244
9/27/2023,2361.824783
9/28/2023,2360.075567
9/29/2023,2358.333964
9/30/2023,2356.599605
10/1/2023,2354.872368
10/2/2023,2353.152621
10/3/2023,2351.439627
10/4/2023,2349.734246
10/5/2023,2348.035986
10/6/2023,2346.344357
10/7/2023,2344.659972
10/8/2023,2342.982464
10/9/2023,2341.311954
10/10/2023,2339.648197
10/11/2023,2337.99144
10/12/2023,2336.341558
10/13/2023,2334.69757
10/14/2023,2333.060827
10/15/2023,2331.430713
10/16/2023,2329.807354
10/17/2023,2328.190133
10/18/2023,2326.579298
10/19/2023,2324.975584
10/20/2023,2323.377641
10/21/2023,2321.786205
10/22/2023,2320.200786
10/23/2023,2318.622121
10/24/2023,2317.049226
10/25/2023,2315.483085
10/26/2023,2313.922715
10/27/2023,2312.368238
10/28/2023,2310.819901
10/29/2023,2309.277948
10/30/2023,2307.741521
10/31/2023,2306.211479
11/1/2023,2304.686962
11/2/2023,2303.168585
11/3/2023,2301.655856
11/4/2023,2300.148652
11/5/2023,2298.647833
11/6/2023,2297.151926
11/7/2023,2295.662649
11/8/2023,2294.178283
11/9/2023,2292.699811
11/10/2023,2291.226865
11/11/2023,2289.759321
11/12/2023,2288.297794
11/13/2023,2286.841055
11/14/2023,2285.389842
11/15/2023,2283.944277
11/16/2023,2282.504115
11/17/2023,2281.069109
11/18/2023,2279.639384
11/19/2023,2278.214815
11/20/2023,2276.795526
11/21/2023,2275.381763
11/22/2023,2273.973034
11/23/2023,2272.569216
11/24/2023,2271.170556
11/25/2023,2269.776807
11/26/2023,2268.388215
11/27/2023,2267.004902
11/28/2023,2265.62601
11/29/2023,2264.252521
11/30/2023,2262.884189
12/1/2023,2261.520154
12/2/2023,2260.161153
12/3/2023,2258.807064
12/4/2023,2257.458009
12/5/2023,2256.113375
12/6/2023,2254.773406
12/7/2023,2253.438226
12/8/2023,2252.107957
12/9/2023,2250.782232
12/10/2023,2249.460927
12/11/2023,2248.144779
12/12/2023,2246.83256
12/13/2023,2245.525252
12/14/2023,2244.222243
12/15/2023,2242.924144
12/16/2023,2241.629852
12/17/2023,2240.34084
12/18/2023,2239.055634
12/19/2023,2237.774848
12/20/2023,2236.498606
12/21/2023,2235.226906
12/22/2023,2233.959259
12/23/2023,2232.695909
12/24/2023,2231.437102
12/25/2023,2230.182224
12/26/2023,2228.931767
